v8-version,14,6,202,33,-node.19,0
v8-platform,macos,macos
new,MemoryChunk,0x2192d7d80000,229376
new,MemoryChunk,0x219cfee00000,262144
new,MemoryChunk,0x82ba0fc0000,212992
new,MemoryChunk,0x1ea89b940000,262144
new,MemoryChunk,0x833a8780000,262144
new,MemoryChunk,0x2c98b1680000,262144
new,MemoryChunk,0x29012c5c0000,262144
new,MemoryChunk,0x360b9b4c0000,262144
new,MemoryChunk,0x1e1abb440000,262144
new,MemoryChunk,0x100a2d600000,262144
new,MemoryChunk,0xf3fb4640000,262144
new,MemoryChunk,0x2d1fbd880000,262144
new,MemoryChunk,0xb510b880000,262144
new,MemoryChunk,0x1828839c0000,262144
new,MemoryChunk,0x3d1341200000,262144
new,MemoryChunk,0x3094414c0000,262144
new,MemoryChunk,0x25bf78d00000,262144
new,MemoryChunk,0x16a9d3100000,262144
new,MemoryChunk,0x216771080000,262144
new,MemoryChunk,0x21548e040000,262144
new,MemoryChunk,0xa61e7400000,262144
new,MemoryChunk,0x259d2cc0000,262144
new,MemoryChunk,0x3bff69100000,262144
new,MemoryChunk,0x1d20c940000,262144
new,MemoryChunk,0x1430c6d80000,262144
new,MemoryChunk,0x1ef036c40000,262144
new,MemoryChunk,0x1cb42fa80000,262144
new,MemoryChunk,0x26917f40000,262144
new,MemoryChunk,0x28f1eddc0000,262144
new,MemoryChunk,0xb8ed7d00000,262144
new,MemoryChunk,0x1c63eb7c0000,262144
new,MemoryChunk,0x2184c08c0000,262144
new,MemoryChunk,0x220ffb4c0000,262144
new,MemoryChunk,0x2e7703580000,262144
new,MemoryChunk,0xfdd00640000,262144
new,MemoryChunk,0x289839dc0000,262144
new,MemoryChunk,0x3c9e5500000,262144
new,MemoryChunk,0x27ea84780000,262144
new,MemoryChunk,0x399b82900000,262144
new,MemoryChunk,0xc68bc2c0000,262144
new,MemoryChunk,0x28d66c900000,262144
new,MemoryChunk,0xb0f3ecc0000,262144
delete,MemoryChunk,0x999348800
delete,MemoryChunk,0x998839000
new,MemoryChunk,0x3f7010dc0000,262144
new,MemoryChunk,0x36ee69240000,9076736
new,MemoryChunk,0x838ffe00000,1605632
new,MemoryChunk,0xcddc9340000,180224
new,MemoryChunk,0x328e91600000,147456
new,MemoryChunk,0x263bc4b40000,262144
new,MemoryChunk,0x96c674c0000,262144
new,MemoryChunk,0x3dc7b2480000,262144
new,MemoryChunk,0x2d49d0080000,180224
new,MemoryChunk,0x36f6ef0c0000,294912
new,MemoryChunk,0x2abd44e40000,262144
new,MemoryChunk,0x2ebf61b00000,262144
new,MemoryChunk,0x162598440000,262144
new,MemoryChunk,0x3f5c30200000,262144
new,MemoryChunk,0x207c2e640000,262144
new,MemoryChunk,0x21a4383c0000,262144
new,MemoryChunk,0x29f9f3680000,262144
new,MemoryChunk,0x2290b0d80000,262144
new,MemoryChunk,0x2239aa700000,262144
new,MemoryChunk,0x27628a8c0000,262144
new,MemoryChunk,0x28000ce00000,262144
new,MemoryChunk,0x87a2cfc0000,262144
new,MemoryChunk,0x2adbef840000,262144
new,MemoryChunk,0x2a1012040000,262144
new,MemoryChunk,0x3f1653780000,262144
new,MemoryChunk,0x13216e900000,262144
new,MemoryChunk,0x384a7bf00000,262144
new,MemoryChunk,0xa398b280000,262144
new,MemoryChunk,0x139c9fa40000,262144
new,MemoryChunk,0x3ed756800000,262144
new,MemoryChunk,0x8ebb8e80000,262144
new,MemoryChunk,0x62d8f380000,262144
code-deopt,372023,960,0x1266f1a20,-1,146499,dependency-change,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/node_modules/typescript/lib/typescript.js:3173:21>,dependent allocation site tenuring changed
code-deopt,372043,800,0x1266edce0,-1,423152,dependency-change,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/node_modules/typescript/lib/typescript.js:9162:14>,dependent allocation site tenuring changed
new,MemoryChunk,0x111c73480000,262144
new,MemoryChunk,0xba4ab640000,262144
new,MemoryChunk,0x3b2bf7e40000,262144
new,MemoryChunk,0x1e7fad7c0000,262144
new,MemoryChunk,0x1ac576480000,262144
new,MemoryChunk,0x1b2378580000,262144
new,MemoryChunk,0x2d379bc00000,262144
new,MemoryChunk,0xf5fb840000,262144
new,MemoryChunk,0x126700000,262144
new,MemoryChunk,0x10f408200000,262144
new,MemoryChunk,0x1cc240080000,262144
new,MemoryChunk,0x34ce82f40000,262144
new,MemoryChunk,0x7000000000,262144
new,MemoryChunk,0x18000b3c0000,262144
new,MemoryChunk,0x35a6fed80000,262144
